id,name,price,brand,color,contenttype,style,image_url
4b6e67bf-344e-4e48-a95c-805619c0c3eb,SP_HB001,0.0,百强松堡王国,,table/night table,其他,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/4b6e67bf-344e-4e48-a95c-805619c0c3eb/iso.jpg
4b6ddd14-e32a-4e03-8861-1033ace0a609,B003-C2,5140, 威廉小镇,,table/night table,其他,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/4b6ddd14-e32a-4e03-8861-1033ace0a609/iso.jpg
4bf036c8-cca0-4e72-b2f4-4bda4f065ca2,三屉电视柜,0.0,元亨利,,media unit/floor-based media unit,明清古典,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/4bf036c8-cca0-4e72-b2f4-4bda4f065ca2/iso.jpg
4cb5b9a7-5741-458b-987b-f400e79c050f,面条柜,0.0,又日新,,cabinet/hutch&buffet,简约现代,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/4cb5b9a7-5741-458b-987b-f400e79c050f/iso.jpg
4dc97750-91ab-4a98-8b66-854a0a03a194,805碗碟柜,0.0,英伦华庄,,storage unit/floor-based storage unit,其他,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/4dc97750-91ab-4a98-8b66-854a0a03a194/iso.jpg
4da0134b-1792-486d-8dad-d5a695ce4707,豌豆柜A966-2,1565,奥立克,,storage unit/floor-based storage unit,其他,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/4da0134b-1792-486d-8dad-d5a695ce4707/iso.jpg
4eb54aca-aed8-4144-b42b-92151c5976c0,C001-WB1,5940, 威廉小镇,,table/side table,其他,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/4eb54aca-aed8-4144-b42b-92151c5976c0/iso.jpg
50249f29-1bc4-4a87-a8cc-bf88301108d4,鞋柜MG056,20800,左右波洛克,,table/side table,其他,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/50249f29-1bc4-4a87-a8cc-bf88301108d4/iso.jpg
51fae7ff-369f-4173-82ce-faae43a36b01,顶箱书柜  YS002,8625,瑞尔,,storage unit/floor-based storage unit,其他,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/51fae7ff-369f-4173-82ce-faae43a36b01/iso.jpg
5182d7db-9079-4643-9701-493a302fe2e4,鞋柜888-1,0.0,东方百盛,,table/side table,其他,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/5182d7db-9079-4643-9701-493a302fe2e4/iso.jpg
516d5b10-9285-4e3d-84f8-31310cbb217a,书柜S204,0.0,荣麟,,storage unit/floor-based storage unit,其他,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/516d5b10-9285-4e3d-84f8-31310cbb217a/iso.jpg
