is_context,item_id,context_id
FALSE,280,2
FALSE,652,4
FALSE,212,3
FALSE,263,3
FALSE,154,0
FALSE,424,4
FALSE,83,0
FALSE,84,4
FALSE,521,3
FALSE,272,0
FALSE,288,4
FALSE,578,2
FALSE,398,4
FALSE,432,2
FALSE,79,4
FALSE,299,1
FALSE,129,2
FALSE,624,2
FALSE,684,0
FALSE,516,3
FALSE,11,1
FALSE,362,3
FALSE,122,2
FALSE,796,0
FALSE,360,0
FALSE,172,1
FALSE,414,1
FALSE,556,0
FALSE,474,1
FALSE,206,2
FALSE,207,2
FALSE,416,0
FALSE,529,3
FALSE,462,3
FALSE,186,0
FALSE,52,2
FALSE,623,0
FALSE,418,4
FALSE,714,0
FALSE,355,1
FALSE,582,4
FALSE,161,1
FALSE,132,4
FALSE,414,0
FALSE,686,3
FALSE,678,4
FALSE,404,2
FALSE,763,3
FALSE,67,4
