id,name,price,brand,color,contenttype,style,image_url
04fc1432-21bc-4c76-9b06-8ca9d03bfca3,吊灯MD10370-1-205CR,0.0,马斯登,Red,lighting/pendant light,其他,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/04fc1432-21bc-4c76-9b06-8ca9d03bfca3/iso.jpg
07883646-991b-4538-b916-d3f39d59178f,吊8004-8,4488,ARES,,lighting/pendant light,美式乡村,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/07883646-991b-4538-b916-d3f39d59178f/iso.jpg
0c209cfb-97c2-439b-b893-2b894ae54d2f,雷士射灯NDL841S LW,0.0,雷士照明,,lighting/single spotlight - ceiling-attached,其他,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/0c209cfb-97c2-439b-b893-2b894ae54d2f/iso.jpg
0d690dc6-ac4c-41a9-902f-f5c9d8ebf2e9,D10089-1,3600,灯元国际,,lighting/pendant light,其他,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/0d690dc6-ac4c-41a9-902f-f5c9d8ebf2e9/iso.jpg
0e0138d5-dd98-44c2-a36a-44fcc205205b,MD110037-6A,9620,灯元国际,,lighting/pendant light,其他,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/0e0138d5-dd98-44c2-a36a-44fcc205205b/iso.jpg
121ae76f-8274-4771-9a4f-b9d50b6a2846,测试_吸顶灯2,0.0,居然之家,,lighting/single spotlight - ceiling-attached,其他,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/121ae76f-8274-4771-9a4f-b9d50b6a2846/iso.jpg
1f4517fd-430a-4f05-bf4d-77fcf959acae,雷士LED天花射灯TH44165,0.0,雷士照明,,lighting/single spotlight - ceiling-attached,现代中式,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/1f4517fd-430a-4f05-bf4d-77fcf959acae/iso.jpg
2389d155-9316-4a5c-a5fd-dc052da8d524,雷士LED筒灯49037 8W-3000K,147,雷士照明,,lighting/single spotlight - ceiling-attached,现代中式,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/2389d155-9316-4a5c-a5fd-dc052da8d524/iso.jpg
251c7ae4-4103-4b7f-bb73-77cf00e7475b,MA120302-30A,76000,灯元国际,,lighting/pendant light,其他,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/251c7ae4-4103-4b7f-bb73-77cf00e7475b/iso.jpg
26a6f7e2-6764-427a-890c-ed21447d39d0,MD20023-1,0.0,ARES,,lighting/pendant light,简约现代,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/26a6f7e2-6764-427a-890c-ed21447d39d0/iso.jpg
28e1e88a-5116-413a-9bd3-c858ba990909,AD88269-50,1168,ARES,,lighting/pendant light,美式乡村,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/28e1e88a-5116-413a-9bd3-c858ba990909/iso.jpg
2b2e2c62-facd-4cdc-a284-925c2f9944ac,GZL-2,1380,弘门,Red,lighting/desk lamp,美式乡村,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/2b2e2c62-facd-4cdc-a284-925c2f9944ac/iso.jpg
2ec956aa-923b-4b0d-bb44-7d36e0d4410b,雷士LED天花射灯TH44163,189,雷士照明,,lighting/single spotlight - ceiling-attached,现代中式,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/2ec956aa-923b-4b0d-bb44-7d36e0d4410b/iso.jpg
