id,name,price,brand,color,contenttype,style,image_url
0033c443-0c18-4257-a5c3-1751f69932f0,樟木七屉柜YX005,9375,瑞尔,,storage unit/dresser,其他,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/0033c443-0c18-4257-a5c3-1751f69932f0/iso.jpg
0066b330-402f-428f-bb6b-16342e5036e5,二门书柜928B-3,8063,泰诺,,storage unit/floor-based storage unit,简约现代,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/0066b330-402f-428f-bb6b-16342e5036e5/iso.jpg
0185c4e9-6fe0-431c-a7aa-d64065edbde1,床头柜L（左）	 DB12,2576,楷模,,table/night table,其他,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/0185c4e9-6fe0-431c-a7aa-d64065edbde1/iso.jpg
021a21d4-fb45-4673-aef7-19a60e20383d,HL0432_书柜,0.0,皇朝家私,,storage unit/floor-based storage unit,其他,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/021a21d4-fb45-4673-aef7-19a60e20383d/iso.jpg
0293fe96-e4ab-4586-b578-9b1e74bea9f3,四门书柜,17980,法诗兰,,storage unit/floor-based storage unit,其他,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/0293fe96-e4ab-4586-b578-9b1e74bea9f3/iso.jpg
03ee11a8-6798-4b29-b09a-d16c6cbc9bb9,高低高电视柜928-D,8470,泰诺,Brown,media unit/floor-based media unit,简约现代,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/03ee11a8-6798-4b29-b09a-d16c6cbc9bb9/iso.jpg
04a5d0f1-8c87-401f-b9b8-fad93e7a0c03,四门衣柜928,19030,泰诺,Brown,storage unit/armoire,简约现代,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/04a5d0f1-8c87-401f-b9b8-fad93e7a0c03/iso.jpg
04f76b37-c424-44b6-bd2c-74f2eeb0b1a9,强力_隔厅柜Y01,3816,强力,,storage unit/floor-based storage unit,简约现代,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/04f76b37-c424-44b6-bd2c-74f2eeb0b1a9/iso.jpg
05a72ac7-0968-450f-b4c1-271da7928b73,V038_32,27300,富兰蒂斯,,storage unit/floor-based storage unit,其他,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/05a72ac7-0968-450f-b4c1-271da7928b73/iso.jpg
062b19ea-4278-43a1-8b1d-4db2e679b3c7,吊柜I7121,4212,雀之林,Brown,cabinet/hutch&buffet,其他,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/062b19ea-4278-43a1-8b1d-4db2e679b3c7/iso.jpg
076d9a25-8382-4730-82ca-3fdefd994286,晓月_餐边柜TC-02,5324,晓月,Brown,table/side table,简约现代,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/076d9a25-8382-4730-82ca-3fdefd994286/iso.jpg
