id,name,price,color,brand,sex,type,image_url
13,Print T-shirt - blue,19.00,blue,ESPRIT Collection,Men,Tops,http://i2.ztat.net/large/ES/42/2D/00/0K/00/ES422D000-K00@3.jpg
14,Print T-shirt - white,12.00,white,Esprit,Men,Tops,http://i1.ztat.net/large/ES/12/2D/06/OA/00/ES122D06O-A00@4.jpg
21,Print T-shirt - blue,15.00,blue,Esprit,Men,Tops,http://i1.ztat.net/large/ES/12/2O/00/9K/11/ES122O009-K11@2.jpg
23,Print T-shirt - blue,10.00,blue,Esprit,Men,Tops,http://i2.ztat.net/large/ES/12/2O/00/8K/11/ES122O008-K11@1.jpg
24,Shirt - red,29.00,red,Esprit,Men,Shirts,http://i2.ztat.net/large/ES/12/2F/04/IG/00/ES122F04I-G00@1.jpg
36,Print T-shirt - white,10.00,white,Esprit,Men,Tops,http://i1.ztat.net/large/ES/12/2O/00/8A/11/ES122O008-A11@3.1.jpg
41,Print T-shirt - blue,12.00,blue,Esprit,Men,Tops,http://i1.ztat.net/large/ES/12/2D/06/OK/00/ES122D06O-K00@2.jpg
42,Print T-shirt - white,15.00,white,Esprit,Men,Tops,http://i1.ztat.net/large/ES/12/2O/00/9A/12/ES122O009-A12@2.jpg
46,Light jacket - blue,75.00,blue,Esprit,Men,Jackets,http://i2.ztat.net/large/ES/12/2G/00/UK/00/ES122G00U-K00@5.jpg
47,NEW YORK - Vest - white,13.00,white,Esprit,Men,Underwear,http://i1.ztat.net/large/ES/12/2K/00/J0/02/ES122K00J-002@1.1.jpg
50,Leather jacket - black,250.00,black,ESPRIT Collection,Men,Jackets,http://i1.ztat.net/large/ES/42/2G/00/0Q/00/ES422G000-Q00@1.1.jpg
80,Light jacket - black,120.00,black,s.Oliver,Men,Jackets,http://i1.ztat.net/large/SO/22/2H/00/AQ/11/SO222H00A-Q11@2.jpg
86,Print T-shirt - white,17.00,white,s.Oliver,Men,Tops,http://i2.ztat.net/large/SO/22/2O/01/3A/11/SO222O013-A11@1.jpg
89,Cargo trousers - grey,60.00,grey,s.Oliver,Men,Trousers,http://i1.ztat.net/large/SO/22/2E/01/6C/11/SO222E016-C11@6.jpg
