is_context,item_id,context_id
FALSE,3738,2
FALSE,5880,4
FALSE,2635,3
FALSE,1175,3
FALSE,13006,0
FALSE,6486,4
FALSE,1585,0
FALSE,176,4
FALSE,68,3
FALSE,190,0
FALSE,1170,4
FALSE,3738,2
FALSE,13088,4
FALSE,892,2
FALSE,2396,4
FALSE,4,1
FALSE,3807,2
FALSE,9956,2
FALSE,4276,0
FALSE,44,3
FALSE,889,1
FALSE,503,3
FALSE,2296,2
FALSE,838,0
FALSE,5968,0
FALSE,700,1
FALSE,6085,1
FALSE,276,0
FALSE,5409,1
FALSE,13,2
FALSE,220,2
FALSE,1910,0
FALSE,118,3
FALSE,2672,3
FALSE,919,0
FALSE,316,2
FALSE,1320,0
FALSE,225,4
FALSE,260,0
FALSE,14,1
FALSE,9756,4
FALSE,47,1
FALSE,5526,4
FALSE,6257,0
FALSE,604,3
FALSE,12120,4
FALSE,5500,2
FALSE,920,3
FALSE,86,4
